Year,Month,Day,Time,WL
1980,1,1,0,-0.302
1980,1,1,1,-0.151
1980,1,1,2,-0.302
1980,1,1,3,-0.39
1980,1,1,4,-0.453
1980,1,1,5,-0.512
1980,1,1,6,-0.682
1980,1,1,7,-0.902
1980,1,1,8,-1.171
1980,1,1,9,-1.332
1980,1,1,10,-1.542
1980,1,1,11,-1.683
1980,1,1,12,-1.801
1980,1,1,13,-1.913
1980,1,1,14,-1.903
1980,1,1,15,-1.752
1980,1,1,16,-1.683
1980,1,1,17,-1.66
1980,1,1,18,-1.463
1980,1,1,19,-1.293
1980,1,1,20,-1.122
1980,1,1,21,-1.043
1980,1,1,22,-0.912
1980,1,1,23,-0.751
1980,1,2,0,-0.643
1980,1,2,1,-0.531
1980,1,2,2,-0.472
1980,1,2,3,-0.443
1980,1,2,4,-0.423
1980,1,2,5,-0.522
1980,1,2,6,-0.663
1980,1,2,7,-0.81
1980,1,2,8,-1.001
1980,1,2,9,-1.171
1980,1,2,10,-1.401
1980,1,2,11,-1.562
1980,1,2,12,-1.703
1980,1,2,13,-1.742
1980,1,2,14,-1.811
1980,1,2,15,-1.781
1980,1,2,16,-1.703
1980,1,2,17,-1.631
1980,1,2,18,-1.532
1980,1,2,19,-1.411
1980,1,2,20,-1.253
1980,1,2,21,-1.093
1980,1,2,22,-0.971
1980,1,2,23,-0.873
1980,1,3,0,-0.673
1980,1,3,1,-0.482
1980,1,3,2,-0.423
1980,1,3,3,-0.381
1980,1,3,4,-0.331
1980,1,3,5,-0.302
1980,1,3,6,-0.371
1980,1,3,7,-0.571
1980,1,3,8,-0.732
1980,1,3,9,-0.951
1980,1,3,10,-1.112
1980,1,3,11,-1.24
1980,1,3,12,-1.401
1980,1,3,13,-1.371
1980,1,3,14,-1.411
1980,1,3,15,-1.463
1980,1,3,16,-1.401
1980,1,3,17,-1.302
1980,1,3,18,-1.263
1980,1,3,19,-1.102
1980,1,3,20,-0.863
1980,1,3,21,-0.741
1980,1,3,22,-0.692
1980,1,3,23,-0.502
1980,1,4,0,-0.282
1980,1,4,1,-0.161
1980,1,4,2,-0.131
1980,1,4,3,-0.023
1980,1,4,4,-0.062
1980,1,4,5,-0.082
1980,1,4,6,-0.161
1980,1,4,7,-0.131
1980,1,4,8,-0.482
1980,1,4,9,-0.912
1980,1,4,10,-1.001
1980,1,4,11,-1.201
1980,1,4,12,-1.483
1980,1,4,13,-1.562
1980,1,4,14,-1.512
1980,1,4,15,-1.611
1980,1,4,16,-1.742
1980,1,4,17,-1.752
1980,1,4,18,-1.601
1980,1,4,19,-1.411
1980,1,4,20,-1.391
1980,1,4,21,-1.362
1980,1,4,22,-1.161
1980,1,4,23,-1.001
1980,1,5,0,-0.883
1980,1,5,1,-0.82
1980,1,5,2,-0.653
1980,1,5,3,-0.531
1980,1,5,4,-0.571
1980,1,5,5,-0.541
1980,1,5,6,-0.531
1980,1,5,7,-0.61
1980,1,5,8,-0.712
1980,1,5,9,-0.883
1980,1,5,10,-1.093
1980,1,5,11,-1.191
1980,1,5,12,-1.283
1980,1,5,13,-1.44
1980,1,5,14,-1.542
1980,1,5,15,-1.411
1980,1,5,16,-1.503
1980,1,5,17,-1.532
1980,1,5,18,-1.43
1980,1,5,19,-1.342
1980,1,5,20,-1.23
1980,1,5,21,-1.132
1980,1,5,22,-0.991
1980,1,5,23,-0.942
1980,1,6,0,-0.833
1980,1,6,1,-0.712
1980,1,6,2,-0.633
1980,1,6,3,-0.541
1980,1,6,4,-0.512
1980,1,6,5,-0.492
1980,1,6,6,-0.531
1980,1,6,7,-0.571
1980,1,6,8,-0.673
1980,1,6,9,-0.801
1980,1,6,10,-0.961
1980,1,6,11,-1.122
1980,1,6,12,-1.211
1980,1,6,13,-1.283
1980,1,6,14,-1.352
1980,1,6,15,-1.391
1980,1,6,16,-1.45
1980,1,6,17,-1.401
1980,1,6,18,-1.312
1980,1,6,19,-1.253
1980,1,6,20,-1.073
1980,1,6,21,-0.971
1980,1,6,22,-0.873
1980,1,6,23,-0.771
1980,1,7,0,-0.6
1980,1,7,1,-0.541
1980,1,7,2,-0.423
1980,1,7,3,-0.322
1980,1,7,4,-0.233
1980,1,7,5,-0.213
1980,1,7,6,-0.233
1980,1,7,7,-0.243
1980,1,7,8,-0.282
1980,1,7,9,-0.331
1980,1,7,10,-0.453
1980,1,7,11,-0.591
1980,1,7,12,-0.712
1980,1,7,13,-0.722
1980,1,7,14,-0.833
1980,1,7,15,-0.883
1980,1,7,16,-0.883
1980,1,7,17,-0.82
1980,1,7,18,-0.81
1980,1,7,19,-0.801
1980,1,7,20,-0.751
1980,1,7,21,-0.591
1980,1,7,22,-0.62
1980,1,7,23,-0.581
1980,1,8,0,-0.482
1980,1,8,1,-0.541
1980,1,8,2,-0.423
1980,1,8,3,-0.381
1980,1,8,4,-0.39
1980,1,8,5,-0.381
1980,1,8,6,-0.433
1980,1,8,7,-0.492
1980,1,8,8,-0.541
1980,1,8,9,-0.653
1980,1,8,10,-0.712
1980,1,8,11,-0.791
1980,1,8,12,-0.771
1980,1,8,13,-0.892
1980,1,8,14,-0.873
1980,1,8,15,-0.863
1980,1,8,16,-0.951
1980,1,8,17,-0.922
1980,1,8,18,-0.801
1980,1,8,19,-0.692
1980,1,8,20,-0.653
1980,1,8,21,-0.571
1980,1,8,22,-0.502
1980,1,8,23,-0.433
1980,1,9,0,-0.361
1980,1,9,1,-0.331
1980,1,9,2,-0.262
1980,1,9,3,-0.272
1980,1,9,4,-0.161
1980,1,9,5,-0.233
1980,1,9,6,-0.292
1980,1,9,7,-0.322
1980,1,9,8,-0.381
1980,1,9,9,-0.371
1980,1,9,10,-0.541
1980,1,9,11,-0.61
1980,1,9,12,-0.653
1980,1,9,13,-0.801
1980,1,9,14,-0.771
1980,1,9,15,-0.801
