 Datetime,noa_value
01-Jan-1950,0.92
01-Feb-1950,0.4
01-Mar-1950,-0.36
01-Apr-1950,0.73
01-May-1950,-0.59
01-Jun-1950,-0.06
01-Jul-1950,-1.26
01-Aug-1950,-0.05
01-Sep-1950,0.25
01-Oct-1950,0.85
01-Nov-1950,-1.26
01-Dec-1950,-1.02
01-Jan-1951,0.08
01-Feb-1951,0.7
01-Mar-1951,-1.02
01-Apr-1951,-0.22
01-May-1951,-0.59
01-Jun-1951,-1.64
01-Jul-1951,1.37
01-Aug-1951,-0.22
01-Sep-1951,-1.36
01-Oct-1951,1.87
01-Nov-1951,-0.39
01-Dec-1951,1.32
01-Jan-1952,0.93
01-Feb-1952,-0.83
01-Mar-1952,-1.49
01-Apr-1952,1.01
01-May-1952,-1.12
01-Jun-1952,-0.4
01-Jul-1952,-0.09
01-Aug-1952,-0.28
01-Sep-1952,-0.54
01-Oct-1952,-0.73
01-Nov-1952,-1.13
01-Dec-1952,-0.43
01-Jan-1953,0.33
01-Feb-1953,-0.49
01-Mar-1953,-0.04
01-Apr-1953,-1.67
01-May-1953,-0.66
01-Jun-1953,1.09
01-Jul-1953,0.4
01-Aug-1953,-0.71
01-Sep-1953,-0.35
01-Oct-1953,1.32
01-Nov-1953,1.04
01-Dec-1953,-0.47
01-Jan-1954,0.37
01-Feb-1954,0.74
01-Mar-1954,-0.83
01-Apr-1954,1.34
01-May-1954,-0.09
01-Jun-1954,-0.25
01-Jul-1954,-0.6
01-Aug-1954,-1.9
01-Sep-1954,-0.44
01-Oct-1954,0.6
01-Nov-1954,0.4
01-Dec-1954,0.69
01-Jan-1955,-1.84
01-Feb-1955,-1.12
01-Mar-1955,-0.53
01-Apr-1955,-0.42
01-May-1955,-0.34
01-Jun-1955,-1.1
01-Jul-1955,1.76
01-Aug-1955,1.07
01-Sep-1955,0.32
01-Oct-1955,-1.47
01-Nov-1955,-1.29
01-Dec-1955,0.17
01-Jan-1956,-0.22
01-Feb-1956,-1.12
01-Mar-1956,-0.05
01-Apr-1956,-1.06
01-May-1956,2.21
01-Jun-1956,0.1
01-Jul-1956,-0.75
01-Aug-1956,-1.37
01-Sep-1956,0.24
01-Oct-1956,0.88
01-Nov-1956,0.51
01-Dec-1956,0.1
01-Jan-1957,1.05
01-Feb-1957,0.11
01-Mar-1957,-1.26
01-Apr-1957,0.49
01-May-1957,-0.79
01-Jun-1957,-0.72
01-Jul-1957,-1.19
01-Aug-1957,-0.55
01-Sep-1957,-1.66
01-Oct-1957,1.32
01-Nov-1957,0.73
01-Dec-1957,0.12
01-Jan-1958,-0.54
01-Feb-1958,-1.06
01-Mar-1958,-1.96
01-Apr-1958,0.37
01-May-1958,-0.24
01-Jun-1958,-1.38
01-Jul-1958,-1.73
01-Aug-1958,-1.56
01-Sep-1958,-0.07
01-Oct-1958,0.16
01-Nov-1958,1.64
01-Dec-1958,-0.7
01-Jan-1959,-0.87
01-Feb-1959,0.68
01-Mar-1959,-0.15
01-Apr-1959,0.36
01-May-1959,0.39
01-Jun-1959,0.4
01-Jul-1959,0.74
01-Aug-1959,0.06
01-Sep-1959,0.88
