Date,   SST AMM 
1/1/1948,0.66
2/1/1948,0
3/1/1948,1
4/1/1948,1.86
5/1/1948,1.3
6/1/1948,2.51
7/1/1948,1.63
8/1/1948,0.55
9/1/1948,-0.48
10/1/1948,-0.24
11/1/1948,0.72
12/1/1948,-0.93
1/1/1949,-0.2
2/1/1949,-0.47
3/1/1949,-1.13
4/1/1949,-1.22
5/1/1949,-1.88
6/1/1949,-1.55
7/1/1949,-0.19
8/1/1949,0.77
9/1/1949,0.89
10/1/1949,0.8
11/1/1949,0.16
12/1/1949,0.46
1/1/1950,0.53
2/1/1950,-1.07
3/1/1950,-1.26
4/1/1950,0.72
5/1/1950,1.05
6/1/1950,0.28
7/1/1950,0.21
8/1/1950,1.21
9/1/1950,1.26
10/1/1950,1.27
11/1/1950,1.87
12/1/1950,3.03
1/1/1951,2.14
2/1/1951,0.94
3/1/1951,2.29
4/1/1951,3.63
5/1/1951,3.7
6/1/1951,3.85
7/1/1951,2.87
8/1/1951,0.98
9/1/1951,-0.04
10/1/1951,-0.97
11/1/1951,-1.19
12/1/1951,-2.02
1/1/1952,-2.89
2/1/1952,-1.44
3/1/1952,0.92
4/1/1952,1.13
5/1/1952,2.09
6/1/1952,3.27
7/1/1952,2.36
8/1/1952,2.04
9/1/1952,2.24
10/1/1952,2.08
11/1/1952,2.25
12/1/1952,3.63
1/1/1953,3.16
2/1/1953,2.8
3/1/1953,1.32
4/1/1953,2.12
5/1/1953,2.34
6/1/1953,1.45
7/1/1953,1.45
8/1/1953,1.52
9/1/1953,1.52
10/1/1953,0.35
11/1/1953,0.69
12/1/1953,0.82
1/1/1954,0.97
2/1/1954,0.82
3/1/1954,-0.17
4/1/1954,-0.44
5/1/1954,1.68
6/1/1954,1.2
7/1/1954,0.39
8/1/1954,-0.86
9/1/1954,-1.25
10/1/1954,-1.69
11/1/1954,-1.6
12/1/1954,-1.07
1/1/1955,0.63
2/1/1955,1.62
3/1/1955,1.03
4/1/1955,1.95
5/1/1955,1.61
6/1/1955,2.14
7/1/1955,2.7
8/1/1955,3.05
9/1/1955,2.93
10/1/1955,3.55
11/1/1955,4.25
12/1/1955,4.57
1/1/1956,4.38
2/1/1956,3.56
3/1/1956,2.5
4/1/1956,2.02
5/1/1956,0.16
6/1/1956,-1.4
7/1/1956,-0.47
8/1/1956,-0.25
9/1/1956,-0.67
10/1/1956,0.05
11/1/1956,0.39
12/1/1956,0.74
1/1/1957,-1.03
2/1/1957,-2.24
3/1/1957,-1.54
4/1/1957,-2.32
5/1/1957,-1.4
6/1/1957,-0.44
7/1/1957,0.05
8/1/1957,1
9/1/1957,1.34
10/1/1957,1.62
11/1/1957,0.56
12/1/1957,0.1
1/1/1958,1.41
2/1/1958,4.02
3/1/1958,7.13
4/1/1958,8.23
5/1/1958,7.87
6/1/1958,7.32
7/1/1958,5.03
8/1/1958,3.87
9/1/1958,3.66
10/1/1958,1.95
11/1/1958,1.51
12/1/1958,1.03
1/1/1959,1.87
2/1/1959,1.81
3/1/1959,-0.37
4/1/1959,-1.04
5/1/1959,-0.81
6/1/1959,-0.87
7/1/1959,-0.34
8/1/1959,-0.45
9/1/1959,-0.24
10/1/1959,-0.71
11/1/1959,-0.74
12/1/1959,-0.86
1/1/1960,0.26
2/1/1960,1.65
3/1/1960,1.44
4/1/1960,2
5/1/1960,2.44
6/1/1960,2.54
7/1/1960,1.65
8/1/1960,1.08
9/1/1960,0.52
10/1/1960,0.17
11/1/1960,0.25
12/1/1960,-0.29
1/1/1961,-0.16
2/1/1961,-0.33
3/1/1961,0.41
4/1/1961,1.79
5/1/1961,2.11
6/1/1961,0.74
7/1/1961,1.15
8/1/1961,1.27
9/1/1961,0.18
10/1/1961,-0.54
11/1/1961,-0.21
12/1/1961,1.51
1/1/1962,1.96
2/1/1962,1.96
3/1/1962,3.26
4/1/1962,3.15
5/1/1962,2.82
6/1/1962,1.3
7/1/1962,2.44
8/1/1962,1.56
9/1/1962,0.98
10/1/1962,0.41
11/1/1962,1.42
12/1/1962,2.91
1/1/1963,3.15
2/1/1963,3.07
3/1/1963,1.42
4/1/1963,1.76
5/1/1963,-0.21
6/1/1963,-1.12
7/1/1963,-1.14
8/1/1963,-2.04
9/1/1963,-3.19
10/1/1963,-2.34
11/1/1963,-2.21
12/1/1963,-2.96
1/1/1964,-1.59
2/1/1964,0.21
3/1/1964,0.74
4/1/1964,0.17
5/1/1964,1.5
6/1/1964,1.34
7/1/1964,0.25
8/1/1964,0.09
9/1/1964,0.34
10/1/1964,0.28
11/1/1964,0.95
12/1/1964,1.08
1/1/1965,-0.62
2/1/1965,-1.26
3/1/1965,-1.02
4/1/1965,-1.4
5/1/1965,-1.84
6/1/1965,-2.26
7/1/1965,-1.51
8/1/1965,-2.35
9/1/1965,-2.66
10/1/1965,-2.64
11/1/1965,-2.32
12/1/1965,-1.35
1/1/1966,-0.35
2/1/1966,2.12
3/1/1966,3.01
4/1/1966,3.3
5/1/1966,2.26
6/1/1966,0.82
7/1/1966,0.39
8/1/1966,0.3
9/1/1966,0.45
10/1/1966,0.11
11/1/1966,0.33
12/1/1966,0.09
1/1/1967,0.84
2/1/1967,0.1
3/1/1967,0.2
4/1/1967,1.3
5/1/1967,0.84
6/1/1967,0.01
7/1/1967,0.43
8/1/1967,0.08
9/1/1967,0.18
10/1/1967,-0.43
11/1/1967,-1.82
12/1/1967,-2.17
1/1/1968,-0.99
2/1/1968,0.68
3/1/1968,0.67
4/1/1968,-0.07
5/1/1968,-0.14
6/1/1968,-1.45
7/1/1968,-1.79
8/1/1968,-1.9
9/1/1968,-1.62
10/1/1968,-1.44
11/1/1968,-1.13
12/1/1968,-0.68
1/1/1969,1.11
2/1/1969,2.86
3/1/1969,5.19
4/1/1969,3.83
5/1/1969,3.17
6/1/1969,1.89
7/1/1969,1.61
8/1/1969,0.54
9/1/1969,-0.26
10/1/1969,-0.52
11/1/1969,0.52
12/1/1969,1.88
1/1/1970,3.81
2/1/1970,4.2
3/1/1970,5.33
4/1/1970,4.12
5/1/1970,3.58
6/1/1970,2.48
7/1/1970,1.2
8/1/1970,0.86
9/1/1970,-0.02
10/1/1970,0.31
11/1/1970,0.51
12/1/1970,0.97
1/1/1971,0.73
2/1/1971,-0.17
3/1/1971,-1
4/1/1971,-2.61
5/1/1971,-3.56
6/1/1971,-3.8
7/1/1971,-1.96
8/1/1971,-2.47
9/1/1971,-1.56
10/1/1971,-0.26
11/1/1971,0.73
12/1/1971,-0.44
1/1/1972,-1.63
2/1/1972,-2.15
3/1/1972,-3.12
4/1/1972,-3.04
5/1/1972,-3.32
6/1/1972,-4.31
7/1/1972,-4.77
8/1/1972,-4.91
9/1/1972,-4.75
10/1/1972,-4.5
11/1/1972,-4.93
12/1/1972,-6.82
1/1/1973,-6.53
2/1/1973,-5.69
3/1/1973,-4.97
4/1/1973,-3.62
5/1/1973,-2.54
6/1/1973,-2.47
7/1/1973,-2.15
8/1/1973,-2.06
9/1/1973,-2.02
10/1/1973,-2.4
11/1/1973,-1.91
12/1/1973,-1.17
1/1/1974,-1.49
2/1/1974,-2.91
3/1/1974,-4.81
4/1/1974,-6.31
5/1/1974,-6.22
6/1/1974,-4.9
7/1/1974,-3.89
8/1/1974,-3.66
9/1/1974,-3.9
10/1/1974,-3.46
11/1/1974,-4.12
12/1/1974,-3.91
1/1/1975,-2.14
2/1/1975,-2.4
3/1/1975,-3.01
4/1/1975,-2.42
5/1/1975,-3.16
6/1/1975,-2.9
7/1/1975,-1.17
8/1/1975,-0.55
9/1/1975,-1.13
10/1/1975,-1.35
11/1/1975,-1.67
12/1/1975,-0.62
1/1/1976,-0.02
2/1/1976,-1.1
3/1/1976,-2.74
4/1/1976,-2.43
5/1/1976,-2.81
6/1/1976,-2.12
7/1/1976,0.02
8/1/1976,1.56
9/1/1976,1.4
10/1/1976,0.82
11/1/1976,-0.66
12/1/1976,-2.15
1/1/1977,-1.98
2/1/1977,-1.57
3/1/1977,-0.83
4/1/1977,-0.31
5/1/1977,-0.08
6/1/1977,0.03
