,Date,original_stage,discharge_corrected,tidal value,Flow (CFS),StormSurge,y
0,1990-03-01,14.72,-0.089196911,0.875707308,1081000.0,0.0676120320359908,-0.964904219
1,1990-03-02,14.78,0.058826735,1.002774041,1085000.0,0.316588649281701,-0.9439473059999999
2,1990-03-03,14.84,-0.125276442,1.086737404,1098000.0,-0.102215573179046,-1.212013846
3,1990-03-04,14.84,-0.199056928,1.110886553,1103000.0,-0.109714789307853,-1.3099434810000001
4,1990-03-05,14.92,-0.214493466,1.064436825,1105000.0,-0.124449193214246,-1.278930291
5,1990-03-06,15.03,-0.184745652,0.95106069,1108000.0,0.142156999115648,-1.135806342
6,1990-03-07,15.05,-0.159763099,0.893236865,1108000.0,0.115430411086001,-1.052999964
7,1990-03-08,15.05,-0.088311984,0.799845891,1096000.0,0.342290893957826,-0.888157875
8,1990-03-09,14.97,0.011290518,0.665334686,1066000.0,0.436657267775856,-0.654044168
9,1990-03-10,14.73,0.226787771,0.536156997,1050000.0,0.46589947740678,-0.30936922599999994
10,1990-03-11,14.47,0.205590684,0.440661372,1030000.0,0.46474640160774,-0.235070688
11,1990-03-12,14.18,0.283121269,0.437240783,1005000.0,0.580457646596117,-0.154119514
12,1990-03-13,13.99,0.425983187,0.537883421,995000.0,0.472579981950189,-0.11190023399999999
13,1990-03-14,14.06,0.448645598,0.658662694,985000.0,0.700148393085602,-0.21001709600000001
14,1990-03-15,13.97,0.62734129,0.785739333,969000.0,0.930942714919804,-0.15839804299999993
15,1990-03-16,13.77,0.671241651,0.895859854,950000.0,0.663692112915637,-0.22461820300000002
16,1990-03-17,13.61,0.715242394,0.966272637,939000.0,0.0033764402706255,-0.251030243
17,1990-03-18,13.35,0.644266831,0.992650207,924000.0,-0.125631399583284,-0.3483833759999999
18,1990-03-19,13.09,0.588926366,0.982369081,909000.0,-0.0425364119754128,-0.39344271499999994
19,1990-03-20,12.95,0.653757684,0.972105348,904000.0,-0.379343429227216,-0.31834766400000003
20,1990-03-21,12.96,0.795624761,0.980952008,901000.0,-0.34081689716764,-0.18532724700000003
21,1990-03-22,12.9,0.875142891,0.975205159,900000.0,-0.179424441716908,-0.10006226800000007
22,1990-03-23,12.93,0.89220533,0.955041777,904000.0,-0.0444199766261803,-0.06283644700000002
23,1990-03-24,12.99,0.844809727,0.924232172,904000.0,0.0812412987738226,-0.07942244499999995
24,1990-03-25,13.05,1.044948662,0.867198472,915000.0,0.23579638652983,0.17775018999999992
25,1990-03-26,13.08,0.895846828,0.807861043,935000.0,-0.0999469152590322,0.0879857850000001
26,1990-03-27,13.37,0.710235958,0.897316068,948000.0,-0.0975438553002385,-0.18708011000000002
